category,item,unit,price_yen,conditions,source
entrance,大人,1人,200,中学生以上,料金表
entrance,子ども,1人,100,小学生。小学生未満は無料,料金表
facility,オートサイト,1区画,5000,宿泊可能。AC電源付き,料金表
facility,フリーサイト,テント1張り,3500,宿泊可能。タープ1張りにつき500円追加,料金表
facility,デイキャンプ,小学生以上1人,600,宿泊不可。利用時間10:00〜15:00,料金表・利用案内
facility,眺望ハウス,10名まで,6000,宿泊不可。11人以上は1人につき500円追加。鉄板・金網・トング付き,料金表
facility,ロッジ,要相談,0,宿泊以外の使用のみ。管理人へ要相談,料金表
rental,まな板・包丁,1セット,100,返却時に洗浄,料金表
rental,鉄板,1枚,200,ヘラ付き。返却時に洗浄,料金表
rental,金網,1枚,100,トング付き。返却時に洗浄,料金表
rental,飯ごう,1個,200,しゃもじ付き。返却時に洗浄,料金表
rental,大鍋,1個,200,おたま付き。返却時に洗浄,料金表
rental,小鍋,1個,150,おたま付き。返却時に洗浄,料金表
sales,薪,1束,600,,料金表
sales,炭 3kg,1袋,700,,料金表
sales,炭 6kg,1袋,1400,,料金表
facility,コインシャワー,3分,200,場内に温泉施設なし,FAQ
